"filename", "language", "Dart", "YAML", "Markdown", "JSON", "C++", "HTML", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"e:\Projects\P_Android_save\flutter project\chat_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"e:\Projects\P_Android_save\flutter project\chat_app\macos\firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\Projects\P_Android_save\flutter project\chat_app\pubspec.yaml", "YAML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 57, 16, 96
"e:\Projects\P_Android_save\flutter project\chat_app\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"e:\Projects\P_Android_save\flutter project\chat_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 16, 6, 60
"e:\Projects\P_Android_save\flutter project\chat_app\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\Projects\P_Android_save\flutter project\chat_app\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 5, 24
"e:\Projects\P_Android_save\flutter project\chat_app\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Projects\P_Android_save\flutter project\chat_app\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 16, 72
"e:\Projects\P_Android_save\flutter project\chat_app\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"e:\Projects\P_Android_save\flutter project\chat_app\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 10, 44
"e:\Projects\P_Android_save\flutter project\chat_app\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"e:\Projects\P_Android_save\flutter project\chat_app\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 10, 66
"e:\Projects\P_Android_save\flutter project\chat_app\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"e:\Projects\P_Android_save\flutter project\chat_app\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"e:\Projects\P_Android_save\flutter project\chat_app\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 660, 26, 13, 291, 547, 38, 58, 463, 8, 95, 305, 353, 2857
